equipnum,serialnum,apprtype,owner_name,region_name,substn_name,designation,norm_name,fluidtype,eqp_desc,mfr,year_mfg,model,kv_ratings,mva_ratings,ratedkv,ratedamps,oilpres,cooling,fluidvol,has_filtration,temp_rise,triphase,pct_impedance_hx,external_id,in_service,spare,surveillance,eqp_remarks
10048873,2-NV-43100,OCB TANK 3,,,NOLENSVILLE RD,F8B,OCB_GENERIC,OIL,TANK 3,WESTINGHOUSE,,,,,23.000,,,,73,,,,,TANK #3,,,,
10048873,2-NV-43100,OCB TANK 2,,,NOLENSVILLE RD,F8B,OCB_GENERIC,OIL,TANK 2,WESTINGHOUSE,,,,,23.000,,,,73,,,,,TANK #2,,,,
10049520,A6980,LTC,,OLTC,NOLENSVILLE RD,T1,LTC_RESISTIVE_A,OIL,SubTranLTC,ASEA,1985,UZD,161.7,67.2,161.700,,DESSICANT-BREATHING,,100,1,,1,,T-1 LTC,1,0,,
10049520,A6980,XFMR,,161/69,NOLENSVILLE RD,T1,TRN_IEEE_INC_69_288KV,OIL,SubTranLTC,ASEA,1985,,161.7,67.2,161.000,,CONSERVATOR/DIAPHRAGM,OA/FA,11386,0,,1,,T-1,1,0,,
10049350,C-05742-5-1,LTC,,OLTC,NOLENSVILLE RD,T2,LTC_NONDIVERTER_A,OIL,SubTranLTC,MCGE,1977,550 C,161.7,67.2,161.700,,FREE-BREATHING,,410,0,,1,,T-2 LTC,1,0,,
10049350,C-05742-5-1,XFMR,,161/69,NOLENSVILLE RD,T2,TRN_IEEE_INC_69_288KV,OIL,SubTranLTC,MCGE,1977,,161.7,67.2,161.000,,CONSERVATOR/DIAPHRAGM,OA/FA/FA,12360,0,,1,,T-2,1,0,,
10049500,7000086,XFMR,,161/69,NORTH,SPARE,TRN_IEEE_INC_69_288KV,OIL,SubTranNonLTC,WEST,1962,,161.7,100,161.000,,INERT GAS-PRESSURE,FOA-2 STAGE,5950,0,,0,,91,0,1,,
10049417,7000087,XFMR,,161/69,NORTH,T1-A,TRN_IEEE_INC_69_288KV,OIL,SubTranNonLTC,WEST,1962,,161.7,100,161.000,,INERT GAS-PRESSURE,FOA-2 STAGE,5950,0,,0,,T1-A,1,0,,
10049418,7000084,XFMR,,161/69,NORTH,T1-B,TRN_IEEE_INC_69_288KV,OIL,SubTranNonLTC,WEST,1962,,161.7,100,161.000,,INERT GAS-PRESSURE,FOA-2 STAGE,5950,0,,0,,T1-B,1,0,,
10049419,7000085,XFMR,,161/69,NORTH,T1-C,TRN_IEEE_INC_69_288KV,OIL,SubTranNonLTC,WEST,1962,,161.7,100,161.000,,INERT GAS-PRESSURE,FOA-2 STAGE,5950,0,,0,,T1-C,1,0,,
10049420,7000880,XFMR,,161/69,NORTH,T2-A,TRN_IEEE_INC_69_288KV,OIL,SubTranNonLTC,GE,2006,,161.7,100,161.000,,INERT GAS-PRESSURE,FOA-2 STAGE,6245,0,,0,,T2-A,1,0,,Failed and rewound and returned to service in 2006.
10049421,7000882,XFMR,,161/69,NORTH,T2-B,TRN_IEEE_INC_69_288KV,OIL,SubTranNonLTC,WEST,1962,,161.7,100,161.000,,INERT GAS-PRESSURE,FOA-2 STAGE,6245,0,,0,,T2-B,1,0,,
10049422,7000881,XFMR,,161/69,NORTH,T2-C,TRN_IEEE_INC_69_288KV,OIL,SubTranNonLTC,WEST,1962,,161.7,100,161.000,,INERT GAS-PRESSURE,FOA-2 STAGE,6245,0,,0,,T2-C,1,0,,
